"","cover","quantile_50","quantile_5","quantile_95","time"
"1","Evergreen needleleaf forest",16.93,8.68,28.21,"annual"
"2","Evergreen broadleaf forest",13.09,5.36,28.89,"annual"
"3","Deciduous needleleaf forest",14.32,9.73,21.24,"annual"
"4","Deciduous broadleaf forest",7.48,3.92,15.12,"annual"
"5","Mixed forest",12.79,6.26,21.57,"annual"
"6","Shrubland",16.78,2.57,51.34,"annual"
"7","Savanna",4.93,2.68,14.71,"annual"
"8","Grassland",6.66,1.82,35.04,"annual"
"9","Cropland",5.01,2.24,10.3,"annual"
